Quantum_Key_Size_bits,Quantum_Protocol_Type,Key_Distribution_Method,Encryption_Latency_ms,Decryption_Latency_ms,Throughput_Mbps,Latency_ms,Packet_Loss_percent,Bandwidth_Utilization_percent,Round_Trip_Time_ms,Encryption_Strength,Attack_Type,Vulnerability_Level,Attack_Success_Rate_percent,Intrusion_Detection_Accuracy_percent,Data_Volume_GB,Data_Variety,Data_Velocity_MB_s,Data_Complexity,Real_Time_Processing,Resource_Utilization_CPU_percent,Resource_Utilization_Memory_percent,Energy_Consumption_kWh,Optimization_Level,Performance_Target,Security_Index,Latency_Efficiency,Energy_per_Throughput,Latency_mean
512,BB84,Hybrid QKD,35.15367735352754,21.343097271090752,146.88926093882282,49.64289605319902,0.7846376785416281,70.86231653301674,135.23713285147025,Low,Side Channel,High,38.2317090153184,90.52700647647194,591.1194621588969,Mixed,48.11224702213725,Structured,1,69.71518193064176,61.8854959454448,3.482189228373565,Unknown,0,52.29529746115354,4.062913421018587,0.023706220632426892,35.37989022593911
512,BB84,Post-Quantum,79.43905173890984,47.622924155718685,54.52281198919194,4.260947800489943,4.303450612058121,80.30682776303445,79.3796810532471,Low,Unknown,High,2.542435491408285,92.41668851069475,699.1774255622347,Mixed,11.28450685545828,Structured,1,84.9805677414234,67.51464028802997,3.2722706711253395,Unknown,0,89.87425301928647,0.6778152005839505,0.060016542648497026,43.77430789837282
512,E91,Hybrid QKD,93.68508805683244,67.78263458941274,244.8687236839892,22.604131605298218,4.008152607214673,87.82299563407594,98.42351574122236,High,Man-in-the-Middle,Medium,14.323746607405868,94.95298668223153,638.7819655310763,Audio,82.78520825618773,Semi-Structured,1,37.10442510488785,40.12860824291081,4.297842408317262,Caching,0,80.62924007482566,2.586138205173476,0.017551618449427667,61.357284750514474
1024,B92,QKD,71.39967278746504,55.76781824605424,618.9785145192243,19.96999662096112,1.2159190121669794,55.3533878742096,64.6373153805742,High,Unknown,Unknown,40.55242242177872,89.71214516030369,516.5766736705132,Images,89.27893803603048,Semi-Structured,0,87.8358324935653,54.99347517797399,0.5602321553098656,Parallel Processing,0,49.15972273852497,8.549465635518612,0.0009050914404421719,49.04582921816013
128,E91,QKD,51.927749256456494,10.02132478455438,838.9715354672878,41.89055962072686,1.0273660406928982,53.90364450962167,49.824113878181606,Low,Man-in-the-Middle,Medium,22.67470504858445,91.87487432564984,247.9838002020746,Audio,15.603028144641256,Semi-Structured,0,62.82487482089767,68.0113733173181,0.4767048705699189,Parallel Processing,0,69.20016927706538,15.851260392769191,0.0005682014829070894,34.613211220579245
1024,SARG04,Hybrid QKD,89.63197356483121,39.39342052314598,294.44752219492204,1.7918839086167693,2.122278360574492,85.64970456921918,79.05150649942138,High,Quantum Attack,Low,4.079332735722307,89.74634495118971,205.19901870433927,Text,39.653040642319816,Unstructured,0,36.62114423450841,32.80205948666436,0.7467749323363717,Parallel Processing,0,85.66701221546741,3.2488261108459335,0.0025361902411916923,43.605759332197984
1024,E91,Hybrid QKD,70.65428735838083,94.34167153731342,864.0148230558354,35.90609467686025,0.7290237011063205,52.20725734793936,119.5117144961829,Low,Side Channel,Unknown,0.2612367879767985,95.32729218447425,728.1247981726949,Audio,39.96751651443178,Semi-Structured,1,31.57456135910289,77.27680883771819,2.8780655056505284,Compression,0,95.06605539649745,12.058103637741064,0.0033310371869178074,66.96735119085149
512,SARG04,QKD,10.022459861885226,14.964077776492973,734.4089724420758,1.762294191395747,0.4198370154144254,76.84934801217602,41.836646394679406,Medium,Side Channel,Medium,43.97845824531188,96.98329431131668,393.0321502127244,Audio,67.46526046433118,Unstructured,0,57.21683044742335,59.12058661350833,4.221990870542829,Caching,0,53.004836066004806,66.62840977825671,0.005748828008593096,8.916277276591314
256,BB84,QKD,49.51087418973001,56.588237639727,734.2751102101997,17.68256908597148,0.3262631982830893,95.80824226347733,112.76410584532084,Low,Quantum Attack,Medium,9.174928697903106,85.78740836443913,25.379524190529352,Images,94.3459825853381,Unstructured,1,42.302861668694334,47.04063666295691,3.457518152055841,Compression,1,76.61247966653602,14.536970939210041,0.0047087503089425905,41.260560305142825
1024,BB84,Hybrid QKD,65.39079042389349,83.88918130952406,705.7392853821343,24.473458670650253,4.99461917299567,92.72452188983064,60.04084520812695,Low,Side Channel,High,22.00103693512433,93.56722683684202,163.60740098496746,Text,66.24882152607381,Semi-Structured,0,21.97036427801399,50.6528445372306,3.2700866456357827,Unknown,0,71.56618990171769,10.63007807071001,0.004633561873858993,57.91781013468926
128,SARG04,Post-Quantum,17.29521405790574,95.913225112208,723.5612318492136,37.43023191552709,1.5100827466882527,86.23164411413696,28.29795427272297,Low,Quantum Attack,High,18.597365491478136,98.30688389018827,926.5547039709044,Audio,72.98465546399581,Unstructured,1,70.76901005665314,77.83812133600841,1.064920132230267,Unknown,1,79.70951839871014,39.54920830983926,0.0014717761059518998,50.21289036188028
